Markers
Experiment.Start
Eyetracking Record?
Watch Record?
Joystick Record?
Research Camera?
Angular Measure?
Iphone?
Task1_Start
Task1_End
Survey1 Start
Survey2 Start
Survey3 Start
Survey4 Start
Task2_Start
Task2_End
Task3_Start
Task3_End
Task4_Start
Task4_End
Task5_Start
Task5_End
Task6_Start
Task6_End
Task7_Start
Task7_End
Task8_Start
Task8_End
Task9_Start
Task9_End
Task10_Start
Task10_End
Task11_Start
Task11_End
Task12_Start
Task12_End
Task13_Start
Task13_End
Task14_Start
Task14_End
Rename WayFind
Experiment.End
